"","Team","Value","Squad size","Date"
"1","Liverpool FC","€289.40m",33,"2011-08-01"
"2","Manchester City","€434.50m",28,"2011-08-01"
"3","Chelsea FC","€422.30m",30,"2011-08-01"
"4","Manchester United","€396.25m",30,"2011-08-01"
"5","Tottenham Hotspur","€299.60m",30,"2011-08-01"
"6","Arsenal FC","€316.85m",29,"2011-08-01"
"7","Everton FC","€180.10m",22,"2011-08-01"
"8","Leicester City","€38.83m",32,"2011-08-01"
"9","Wolverhampton Wanderers","€74.30m",28,"2011-08-01"
"10","Aston Villa","€134.55m",26,"2011-08-01"
"11","West Ham United","€90.55m",25,"2011-08-01"
"12","Newcastle United","€105.73m",30,"2011-08-01"
"13","Southampton FC","€18.43m",32,"2011-08-01"
"14","Brighton & Hove Albion","€6.85m",24,"2011-08-01"
"15","Fulham FC","€95.10m",26,"2011-08-01"
"16","Crystal Palace","€17.13m",29,"2011-08-01"
"17","Leeds United","€18.58m",23,"2011-08-01"
"18","Sheffield United","€15.15m",28,"2011-08-01"
"19","Burnley FC","€23.53m",22,"2011-08-01"
"20","West Bromwich Albion","€71.53m",29,"2011-08-01"
