"Team","Value","Squad size","Date"
"Salford City","£3.51m",28,"2020-07-01"
"Bolton Wanderers","£4.95m",26,"2020-07-01"
"Oldham Athletic","£2.36m",22,"2020-07-01"
"Barrow AFC","£833Th.",19,"2020-07-01"
"Morecambe FC","£2.39m",24,"2020-07-01"
"Mansfield Town","£2.63m",28,"2020-07-01"
"Tranmere Rovers","£2.45m",28,"2020-07-01"
"Grimsby Town","£2.27m",25,"2020-07-01"
"Leyton Orient","£2.23m",28,"2020-07-01"
"Colchester United","£2.39m",27,"2020-07-01"
"Scunthorpe United","£3.65m",25,"2020-07-01"
"Bradford City","£3.40m",26,"2020-07-01"
"Port Vale FC","£2.25m",26,"2020-07-01"
"Crawley Town","£2.00m",29,"2020-07-01"
"Exeter City","£3.08m",31,"2020-07-01"
"Newport County","£1.85m",23,"2020-07-01"
"Southend United","£3.24m",29,"2020-07-01"
"Cheltenham Town","£1.98m",22,"2020-07-01"
"Cambridge United","£1.44m",25,"2020-07-01"
"Carlisle United","£2.12m",21,"2020-07-01"
"Stevenage FC","£2.59m",34,"2020-07-01"
"Forest Green Rovers","£2.23m",23,"2020-07-01"
"Walsall FC","£1.67m",23,"2020-07-01"
"Harrogate Town","£473Th.",21,"2020-07-01"
