"Team","Value","Squad size","Date"
"AFC Bournemouth","£84.29m",36,"2016-06-15"
"Norwich City","£81.14m",33,"2016-06-15"
"Watford FC","£97.43m",30,"2016-06-15"
"Brentford FC","£19.13m",25,"2016-06-15"
"Cardiff City","£34.34m",31,"2016-06-15"
"Bristol City","£8.37m",21,"2016-06-15"
"Swansea City","£103.50m",26,"2016-06-15"
"Reading FC","£23.63m",26,"2016-06-15"
"Stoke City","£124.88m",26,"2016-06-15"
"Blackburn Rovers","£17.26m",23,"2016-06-15"
"Nottingham Forest","£30.92m",29,"2016-06-15"
"Middlesbrough FC","£47.21m",29,"2016-06-15"
"Derby County","£53.42m",33,"2016-06-15"
"Huddersfield Town","£9.23m",24,"2016-06-15"
"Birmingham City","£13.86m",30,"2016-06-15"
"Millwall FC","£6.35m",26,"2016-06-15"
"Sheffield Wednesday","£32.49m",27,"2016-06-15"
"Preston North End","£7.56m",26,"2016-06-15"
"Queens Park Rangers","£53.10m",37,"2016-06-15"
"Barnsley FC","£3.76m",28,"2016-06-15"
"Luton Town","£4.50m",29,"2016-06-15"
"Coventry City","£5.06m",25,"2016-06-15"
"Rotherham United","£9.56m",28,"2016-06-15"
"Wycombe Wanderers","£1.73m",19,"2016-06-15"
