"","Team","Value","Squad size","Date"
"1","Liverpool FC","€235.20m",25,"2012-05-01"
"2","Manchester City","€467.00m",24,"2012-05-01"
"3","Chelsea FC","€381.00m",25,"2012-05-01"
"4","Manchester United","€418.50m",28,"2012-05-01"
"5","Tottenham Hotspur","€269.25m",26,"2012-05-01"
"6","Arsenal FC","€299.25m",26,"2012-05-01"
"7","Everton FC","€147.00m",24,"2012-05-01"
"8","Leicester City","€35.35m",30,"2012-05-01"
"9","Wolverhampton Wanderers","€79.93m",24,"2012-05-01"
"10","Aston Villa","€124.75m",25,"2012-05-01"
"11","West Ham United","€62.75m",28,"2012-05-01"
"12","Newcastle United","€133.75m",27,"2012-05-01"
"13","Southampton FC","€27.60m",26,"2012-05-01"
"14","Brighton & Hove Albion","€17.88m",33,"2012-05-01"
"15","Fulham FC","€103.00m",31,"2012-05-01"
"16","Crystal Palace","€20.80m",29,"2012-05-01"
"17","Leeds United","€17.10m",23,"2012-05-01"
"18","Sheffield United","€14.10m",28,"2012-05-01"
"19","Burnley FC","€18.63m",24,"2012-05-01"
"20","West Bromwich Albion","€71.75m",24,"2012-05-01"
