"Team","Value","Squad size","Date"
"Hull City","£101.57m",29,"2017-03-15"
"Ipswich Town","£20.66m",32,"2017-03-15"
"Blackpool FC","£3.83m",28,"2017-03-15"
"Sunderland AFC","£91.80m",28,"2017-03-15"
"Shrewsbury Town","£3.33m",24,"2017-03-15"
"Charlton Athletic","£11.97m",26,"2017-03-15"
"Fleetwood Town","£3.60m",31,"2017-03-15"
"Milton Keynes Dons","£5.99m",25,"2017-03-15"
"Oxford United","£5.09m",24,"2017-03-15"
"Wigan Athletic","£17.46m",32,"2017-03-15"
"Swindon Town","£4.95m",29,"2017-03-15"
"Doncaster Rovers","£2.84m",24,"2017-03-15"
"Portsmouth FC","£3.83m",28,"2017-03-15"
"Burton Albion","£11.39m",26,"2017-03-15"
"Gillingham FC","£4.97m",29,"2017-03-15"
"Bristol Rovers","£2.88m",29,"2017-03-15"
"Plymouth Argyle","£3.56m",25,"2017-03-15"
"Northampton Town","£5.51m",26,"2017-03-15"
"Lincoln City","£1.06m",28,"2017-03-15"
"Peterborough United","£3.69m",23,"2017-03-15"
"Rochdale AFC","£3.69m",29,"2017-03-15"
"Crewe Alexandra","£2.23m",21,"2017-03-15"
"AFC Wimbledon","£3.17m",26,"2017-03-15"
"Accrington Stanley","£2.07m",27,"2017-03-15"
