"","Team","Value","Squad size","Date"
"1","AFC Bournemouth","€9.50m",30,"2013-08-15"
"2","Norwich City","€81.55m",25,"2013-08-15"
"3","Watford FC","€27.20m",24,"2013-08-15"
"4","Brentford FC","€6.60m",25,"2013-08-15"
"5","Cardiff City","€60.60m",29,"2013-08-15"
"6","Bristol City","€9.60m",23,"2013-08-15"
"7","Swansea City","€117.75m",24,"2013-08-15"
"8","Reading FC","€39.80m",25,"2013-08-15"
"9","Stoke City","€94.80m",25,"2013-08-15"
"10","Blackburn Rovers","€45.20m",34,"2013-08-15"
"11","Nottingham Forest","€32.70m",29,"2013-08-15"
"12","Middlesbrough FC","€23.20m",25,"2013-08-15"
"13","Derby County","€19.00m",28,"2013-08-15"
"14","Huddersfield Town","€14.10m",23,"2013-08-15"
"15","Birmingham City","€14.55m",25,"2013-08-15"
"16","Millwall FC","€16.70m",28,"2013-08-15"
"17","Sheffield Wednesday","€11.55m",26,"2013-08-15"
"18","Preston North End","€5.55m",25,"2013-08-15"
"19","Queens Park Rangers","€64.80m",24,"2013-08-15"
"20","Barnsley FC","€8.68m",24,"2013-08-15"
"21","Luton Town","€2.03m",27,"2013-08-15"
"22","Coventry City","€6.75m",25,"2013-08-15"
"23","Rotherham United","€6.45m",26,"2013-08-15"
"24","Wycombe Wanderers","€2.93m",25,"2013-08-15"
