"","Team","Value","Squad size","Date"
"1","Hull City","€112.85m",29,"2017-05-15"
"2","Ipswich Town","€21.95m",31,"2017-05-15"
"3","Blackpool FC","€4.25m",28,"2017-05-15"
"4","Sunderland AFC","€102.00m",28,"2017-05-15"
"5","Shrewsbury Town","€4.08m",27,"2017-05-15"
"6","Charlton Athletic","€11.35m",26,"2017-05-15"
"7","Fleetwood Town","€5.40m",30,"2017-05-15"
"8","Milton Keynes Dons","€5.98m",26,"2017-05-15"
"9","Oxford United","€6.60m",24,"2017-05-15"
"10","Wigan Athletic","€19.40m",33,"2017-05-15"
"11","Swindon Town","€5.70m",26,"2017-05-15"
"12","Doncaster Rovers","€3.15m",24,"2017-05-15"
"13","Portsmouth FC","€4.20m",26,"2017-05-15"
"14","Burton Albion","€12.65m",26,"2017-05-15"
"15","Gillingham FC","€5.28m",28,"2017-05-15"
"16","Bristol Rovers","€3.58m",29,"2017-05-15"
"17","Plymouth Argyle","€3.95m",25,"2017-05-15"
"18","Northampton Town","€6.08m",26,"2017-05-15"
"19","Lincoln City","€1.18m",29,"2017-05-15"
"20","Peterborough United","€4.63m",22,"2017-05-15"
"21","Rochdale AFC","€4.25m",28,"2017-05-15"
"22","Crewe Alexandra","€2.53m",24,"2017-05-15"
"23","AFC Wimbledon","€3.98m",27,"2017-05-15"
"24","Accrington Stanley","€2.13m",25,"2017-05-15"
