"","Team","Value","Squad size","Date"
"1","AFC Bournemouth","€5.53m",33,"2012-06-15"
"2","Norwich City","€51.30m",27,"2012-06-15"
"3","Watford FC","€12.00m",26,"2012-06-15"
"4","Brentford FC","€5.90m",25,"2012-06-15"
"5","Cardiff City","€23.85m",30,"2012-06-15"
"6","Bristol City","€15.70m",29,"2012-06-15"
"7","Swansea City","€62.75m",27,"2012-06-15"
"8","Reading FC","€17.70m",31,"2012-06-15"
"9","Stoke City","€94.90m",29,"2012-06-15"
"10","Blackburn Rovers","€70.40m",27,"2012-06-15"
"11","Nottingham Forest","€21.60m",23,"2012-06-15"
"12","Middlesbrough FC","€29.30m",28,"2012-06-15"
"13","Derby County","€11.75m",27,"2012-06-15"
"14","Huddersfield Town","€11.40m",29,"2012-06-15"
"15","Birmingham City","€27.73m",22,"2012-06-15"
"16","Millwall FC","€13.20m",27,"2012-06-15"
"17","Sheffield Wednesday","€11.63m",24,"2012-06-15"
"18","Preston North End","€8.08m",31,"2012-06-15"
"19","Queens Park Rangers","€82.30m",35,"2012-06-15"
"20","Barnsley FC","€10.70m",24,"2012-06-15"
"21","Luton Town","€1.28m",28,"2012-06-15"
"22","Coventry City","€11.75m",24,"2012-06-15"
"23","Rotherham United","€3.43m",21,"2012-06-15"
"24","Wycombe Wanderers","€4.75m",28,"2012-06-15"
