"","Team","Value","Squad size","Date"
"1","Liverpool FC","€996.95m",30,"2020-06-01"
"2","Manchester City","€1.03bn",27,"2020-06-01"
"3","Chelsea FC","€682.30m",29,"2020-06-01"
"4","Manchester United","€642.78m",28,"2020-06-01"
"5","Tottenham Hotspur","€714.40m",28,"2020-06-01"
"6","Arsenal FC","€571.35m",26,"2020-06-01"
"7","Everton FC","€416.85m",30,"2020-06-01"
"8","Leicester City","€407.85m",28,"2020-06-01"
"9","Wolverhampton Wanderers","€302.00m",28,"2020-06-01"
"10","Aston Villa","€227.75m",32,"2020-06-01"
"11","West Ham United","€298.45m",28,"2020-06-01"
"12","Newcastle United","€253.28m",35,"2020-06-01"
"13","Southampton FC","€194.40m",25,"2020-06-01"
"14","Brighton & Hove Albion","€195.80m",31,"2020-06-01"
"15","Fulham FC","€93.20m",24,"2020-06-01"
"16","Crystal Palace","€173.50m",24,"2020-06-01"
"17","Leeds United","€73.65m",25,"2020-06-01"
"18","Sheffield United","€120.90m",31,"2020-06-01"
"19","Burnley FC","€158.75m",24,"2020-06-01"
"20","West Bromwich Albion","€75.08m",29,"2020-06-01"
