"","Team","Value","Squad size","Date"
"1","AFC Bournemouth","€5.83m",29,"2013-05-01"
"2","Norwich City","€64.75m",25,"2013-05-01"
"3","Watford FC","€26.25m",30,"2013-05-01"
"4","Brentford FC","€6.70m",28,"2013-05-01"
"5","Cardiff City","€32.90m",28,"2013-05-01"
"6","Bristol City","€16.50m",24,"2013-05-01"
"7","Swansea City","€86.75m",22,"2013-05-01"
"8","Reading FC","€44.50m",28,"2013-05-01"
"9","Stoke City","€95.25m",24,"2013-05-01"
"10","Blackburn Rovers","€56.05m",35,"2013-05-01"
"11","Nottingham Forest","€24.95m",25,"2013-05-01"
"12","Middlesbrough FC","€33.45m",31,"2013-05-01"
"13","Derby County","€15.00m",27,"2013-05-01"
"14","Huddersfield Town","€14.75m",27,"2013-05-01"
"15","Birmingham City","€27.55m",27,"2013-05-01"
"16","Millwall FC","€14.25m",31,"2013-05-01"
"17","Sheffield Wednesday","€14.25m",26,"2013-05-01"
"18","Preston North End","€4.83m",23,"2013-05-01"
"19","Queens Park Rangers","€109.50m",28,"2013-05-01"
"20","Barnsley FC","€8.80m",31,"2013-05-01"
"21","Luton Town","€2.10m",29,"2013-05-01"
"22","Coventry City","€8.80m",29,"2013-05-01"
"23","Rotherham United","€6.15m",22,"2013-05-01"
"24","Wycombe Wanderers","€3.55m",31,"2013-05-01"
