"Team","Value","Squad size","Date"
"Salford City","-",NA,"2011-02-01"
"Southend United","£3.38m",24,"2011-02-01"
"Bolton Wanderers","£81.68m",28,"2011-02-01"
"Oldham Athletic","£4.19m",30,"2011-02-01"
"Tranmere Rovers","£3.35m",28,"2011-02-01"
"Morecambe FC","£3.42m",25,"2011-02-01"
"Grimsby Town","-",NA,"2011-02-01"
"Colchester United","£5.49m",27,"2011-02-01"
"Leyton Orient","£6.50m",30,"2011-02-01"
"Mansfield Town","£1.33m",26,"2011-02-01"
"Bradford City","£3.08m",29,"2011-02-01"
"Scunthorpe United","£9.59m",31,"2011-02-01"
"Barrow AFC","£878Th.",25,"2011-02-01"
"Port Vale FC","£2.95m",27,"2011-02-01"
"Cheltenham Town","£1.58m",24,"2011-02-01"
"Exeter City","£4.39m",31,"2011-02-01"
"Carlisle United","£4.25m",25,"2011-02-01"
"Crawley Town","£2.21m",32,"2011-02-01"
"Newport County","£855Th.",16,"2011-02-01"
"Cambridge United","£765Th.",25,"2011-02-01"
"Walsall FC","£5.56m",27,"2011-02-01"
"Forest Green Rovers","£1.69m",37,"2011-02-01"
"Stevenage FC","£2.68m",25,"2011-02-01"
"Harrogate Town","£360Th.",18,"2011-02-01"
