"","Team","Value","Squad size","Date"
"1","Hull City","€26.80m",26,"2012-09-01"
"2","Ipswich Town","€14.20m",24,"2012-09-01"
"3","Blackpool FC","€24.78m",36,"2012-09-01"
"4","Sunderland AFC","€107.00m",23,"2012-09-01"
"5","Shrewsbury Town","€4.50m",22,"2012-09-01"
"6","Charlton Athletic","€9.13m",29,"2012-09-01"
"7","Fleetwood Town","€2.88m",28,"2012-09-01"
"8","Milton Keynes Dons","€6.85m",20,"2012-09-01"
"9","Oxford United","€4.50m",27,"2012-09-01"
"10","Wigan Athletic","€73.00m",23,"2012-09-01"
"11","Swindon Town","€5.43m",26,"2012-09-01"
"12","Doncaster Rovers","€7.65m",20,"2012-09-01"
"13","Portsmouth FC","€7.15m",31,"2012-09-01"
"14","Burton Albion","€2.76m",24,"2012-09-01"
"15","Gillingham FC","€2.85m",26,"2012-09-01"
"16","Bristol Rovers","€4.55m",26,"2012-09-01"
"17","Plymouth Argyle","€3.00m",26,"2012-09-01"
"18","Northampton Town","€3.70m",23,"2012-09-01"
"19","Lincoln City","€875Th.",27,"2012-09-01"
"20","Peterborough United","€9.18m",28,"2012-09-01"
"21","Rochdale AFC","€1.95m",24,"2012-09-01"
"22","Crewe Alexandra","€1.10m",22,"2012-09-01"
"23","AFC Wimbledon","€1.28m",23,"2012-09-01"
"24","Accrington Stanley","€1.28m",26,"2012-09-01"
