"","Team","Value","Squad size","Date"
"1","Salford City","€50Th.",3,"2013-09-01"
"2","Southend United","€3.33m",24,"2013-09-01"
"3","Bolton Wanderers","€41.20m",23,"2013-09-01"
"4","Oldham Athletic","€4.68m",25,"2013-09-01"
"5","Tranmere Rovers","€2.78m",21,"2013-09-01"
"6","Morecambe FC","€2.18m",22,"2013-09-01"
"7","Grimsby Town","€875Th.",19,"2013-09-01"
"8","Colchester United","€3.93m",24,"2013-09-01"
"9","Leyton Orient","€3.78m",20,"2013-09-01"
"10","Mansfield Town","€1.25m",27,"2013-09-01"
"11","Bradford City","€5.58m",20,"2013-09-01"
"12","Scunthorpe United","€3.70m",25,"2013-09-01"
"13","Barrow AFC","€575Th.",22,"2013-09-01"
"14","Port Vale FC","€3.83m",23,"2013-09-01"
"15","Cheltenham Town","€2.33m",22,"2013-09-01"
"16","Exeter City","€3.45m",22,"2013-09-01"
"17","Carlisle United","€3.75m",24,"2013-09-01"
"18","Crawley Town","€3.00m",23,"2013-09-01"
"19","Newport County","€1.28m",22,"2013-09-01"
"20","Cambridge United","€550Th.",25,"2013-09-01"
"21","Walsall FC","€2.80m",25,"2013-09-01"
"22","Forest Green Rovers","€1.33m",29,"2013-09-01"
"23","Stevenage FC","€4.55m",24,"2013-09-01"
"24","Harrogate Town","€1.73m",34,"2013-09-01"
