"Team","Value","Squad size","Date"
"Salford City","£720Th.",19,"2017-03-15"
"Bolton Wanderers","£13.28m",26,"2017-03-15"
"Oldham Athletic","£4.03m",26,"2017-03-15"
"Barrow AFC","£698Th.",29,"2017-03-15"
"Morecambe FC","£1.85m",19,"2017-03-15"
"Mansfield Town","£3.24m",28,"2017-03-15"
"Tranmere Rovers","£1.46m",28,"2017-03-15"
"Grimsby Town","£2.59m",30,"2017-03-15"
"Leyton Orient","£4.12m",26,"2017-03-15"
"Colchester United","£3.94m",29,"2017-03-15"
"Scunthorpe United","£5.11m",25,"2017-03-15"
"Bradford City","£4.32m",27,"2017-03-15"
"Port Vale FC","£4.82m",35,"2017-03-15"
"Crawley Town","£2.79m",23,"2017-03-15"
"Exeter City","£3.67m",32,"2017-03-15"
"Newport County","£2.36m",32,"2017-03-15"
"Southend United","£4.84m",25,"2017-03-15"
"Cheltenham Town","£1.58m",23,"2017-03-15"
"Cambridge United","£2.79m",27,"2017-03-15"
"Carlisle United","£2.84m",22,"2017-03-15"
"Stevenage FC","£2.34m",27,"2017-03-15"
"Forest Green Rovers","£1.89m",25,"2017-03-15"
"Walsall FC","£3.26m",25,"2017-03-15"
"Harrogate Town","£2.72m",43,"2017-03-15"
