"Team","Value","Squad size","Date"
"Hull City","£62.06m",26,"2016-03-01"
"Ipswich Town","£17.48m",26,"2016-03-01"
"Blackpool FC","£3.60m",26,"2016-03-01"
"Sunderland AFC","£79.43m",24,"2016-03-01"
"Shrewsbury Town","£3.92m",26,"2016-03-01"
"Charlton Athletic","£24.26m",32,"2016-03-01"
"Fleetwood Town","£4.61m",29,"2016-03-01"
"Milton Keynes Dons","£8.46m",24,"2016-03-01"
"Oxford United","£2.72m",30,"2016-03-01"
"Wigan Athletic","£9.54m",26,"2016-03-01"
"Swindon Town","£3.20m",26,"2016-03-01"
"Doncaster Rovers","£3.74m",22,"2016-03-01"
"Portsmouth FC","£3.85m",24,"2016-03-01"
"Burton Albion","£3.83m",26,"2016-03-01"
"Gillingham FC","£3.06m",27,"2016-03-01"
"Bristol Rovers","£1.71m",26,"2016-03-01"
"Plymouth Argyle","£2.32m",20,"2016-03-01"
"Northampton Town","£4.01m",25,"2016-03-01"
"Lincoln City","£968Th.",24,"2016-03-01"
"Peterborough United","£3.74m",27,"2016-03-01"
"Rochdale AFC","£4.10m",28,"2016-03-01"
"Crewe Alexandra","£2.18m",27,"2016-03-01"
"AFC Wimbledon","£2.39m",26,"2016-03-01"
"Accrington Stanley","£1.24m",28,"2016-03-01"
