"Team","Value","Squad size","Date"
"Salford City","£45Th.",3,"2013-01-01"
"Southend United","£4.37m",27,"2013-01-01"
"Bolton Wanderers","£49.77m",30,"2013-01-01"
"Oldham Athletic","£3.96m",28,"2013-01-01"
"Tranmere Rovers","£2.27m",27,"2013-01-01"
"Morecambe FC","£2.39m",23,"2013-01-01"
"Grimsby Town","£1.35m",22,"2013-01-01"
"Colchester United","£5.29m",29,"2013-01-01"
"Leyton Orient","£4.88m",23,"2013-01-01"
"Mansfield Town","£2.63m",29,"2013-01-01"
"Bradford City","£5.31m",27,"2013-01-01"
"Scunthorpe United","£4.23m",24,"2013-01-01"
"Barrow AFC","£630Th.",17,"2013-01-01"
"Port Vale FC","£2.25m",23,"2013-01-01"
"Cheltenham Town","£2.09m",20,"2013-01-01"
"Exeter City","£3.80m",24,"2013-01-01"
"Carlisle United","£3.92m",23,"2013-01-01"
"Crawley Town","£2.72m",25,"2013-01-01"
"Newport County","£1.53m",24,"2013-01-01"
"Walsall FC","£3.26m",25,"2013-01-01"
"Forest Green Rovers","£1.46m",25,"2013-01-01"
"Stevenage FC","£4.66m",23,"2013-01-01"
"Cambridge United","£518Th.",23,"2013-01-01"
"Harrogate Town","£1.42m",35,"2013-01-01"
