"","Team","Value","Squad size","Date"
"1","Salford City","-",NA,"2011-11-01"
"2","Southend United","€4.33m",25,"2011-11-01"
"3","Bolton Wanderers","€98.05m",28,"2011-11-01"
"4","Oldham Athletic","€4.70m",26,"2011-11-01"
"5","Tranmere Rovers","€2.95m",23,"2011-11-01"
"6","Morecambe FC","€3.23m",26,"2011-11-01"
"7","Grimsby Town","€1.93m",24,"2011-11-01"
"8","Colchester United","€6.03m",25,"2011-11-01"
"9","Leyton Orient","€5.93m",25,"2011-11-01"
"10","Mansfield Town","€1.85m",21,"2011-11-01"
"11","Bradford City","€6.30m",33,"2011-11-01"
"12","Scunthorpe United","€4.83m",28,"2011-11-01"
"13","Barrow AFC","€725Th.",24,"2011-11-01"
"14","Port Vale FC","€3.58m",26,"2011-11-01"
"15","Cheltenham Town","€2.63m",22,"2011-11-01"
"16","Exeter City","€5.85m",30,"2011-11-01"
"17","Carlisle United","€5.95m",24,"2011-11-01"
"18","Crawley Town","€3.05m",21,"2011-11-01"
"19","Newport County","€1.05m",26,"2011-11-01"
"20","Cambridge United","€875Th.",27,"2011-11-01"
"21","Walsall FC","€5.55m",23,"2011-11-01"
"22","Forest Green Rovers","€1.35m",23,"2011-11-01"
"23","Stevenage FC","€3.38m",25,"2011-11-01"
"24","Harrogate Town","€775Th.",24,"2011-11-01"
