"","Team","Value","Squad size","Date"
"1","Liverpool FC","€951.50m",26,"2019-01-01"
"2","Manchester City","€1.13bn",27,"2019-01-01"
"3","Chelsea FC","€907.25m",28,"2019-01-01"
"4","Manchester United","€774.00m",26,"2019-01-01"
"5","Tottenham Hotspur","€826.50m",26,"2019-01-01"
"6","Arsenal FC","€604.50m",25,"2019-01-01"
"7","Everton FC","€438.50m",27,"2019-01-01"
"8","Leicester City","€346.50m",28,"2019-01-01"
"9","Wolverhampton Wanderers","€231.75m",24,"2019-01-01"
"10","Aston Villa","€118.75m",28,"2019-01-01"
"11","West Ham United","€304.00m",27,"2019-01-01"
"12","Newcastle United","€176.50m",26,"2019-01-01"
"13","Southampton FC","€261.10m",26,"2019-01-01"
"14","Brighton & Hove Albion","€179.50m",25,"2019-01-01"
"15","Fulham FC","€247.50m",25,"2019-01-01"
"16","Crystal Palace","€223.25m",27,"2019-01-01"
"17","Leeds United","€61.35m",25,"2019-01-01"
"18","Sheffield United","€32.70m",26,"2019-01-01"
"19","Burnley FC","€179.75m",25,"2019-01-01"
"20","West Bromwich Albion","€115.20m",26,"2019-01-01"
