"Team","Value","Squad size","Date"
"AFC Bournemouth","£4.03m",32,"2012-05-01"
"Norwich City","£47.97m",26,"2012-05-01"
"Watford FC","£12.60m",27,"2012-05-01"
"Brentford FC","£5.63m",27,"2012-05-01"
"Cardiff City","£21.65m",28,"2012-05-01"
"Bristol City","£18.59m",32,"2012-05-01"
"Swansea City","£61.65m",28,"2012-05-01"
"Stoke City","£81.00m",23,"2012-05-01"
"Reading FC","£18.00m",30,"2012-05-01"
"Blackburn Rovers","£63.36m",27,"2012-05-01"
"Nottingham Forest","£23.56m",28,"2012-05-01"
"Middlesbrough FC","£27.27m",27,"2012-05-01"
"Derby County","£8.42m",23,"2012-05-01"
"Huddersfield Town","£11.16m",29,"2012-05-01"
"Birmingham City","£27.88m",25,"2012-05-01"
"Millwall FC","£10.67m",28,"2012-05-01"
"Sheffield Wednesday","£11.77m",27,"2012-05-01"
"Preston North End","£7.67m",32,"2012-05-01"
"Queens Park Rangers","£71.60m",30,"2012-05-01"
"Barnsley FC","£10.69m",27,"2012-05-01"
"Luton Town","£1.15m",27,"2012-05-01"
"Coventry City","£9.05m",23,"2012-05-01"
"Rotherham United","£3.13m",22,"2012-05-01"
"Wycombe Wanderers","£4.19m",26,"2012-05-01"
